EAN,Condition,Price,Deliverycode,Stock,Publish,Reference,Description,Title,FulfillmentMethod,Published,ReasonCode,ReasonMessage
"9789002250453","AS_NEW","9.75","24uurs-13","1","TRUE","9789002250453","","Hah1","FBR","TRUE","",""
"9789057592454","AS_NEW","9.75","24uurs-13","1","TRUE","9789057592454","","Hah2","FBR","TRUE","",""
"9789491567001","AS_NEW","9.75","24uurs-13","1","TRUE","9789491567001","","hah3","FBR","TRUE","",""
"9789089681751","AS_NEW","14.23","24uurs-13","1","TRUE","9789089681751","","Hah4","FBR","TRUE","",""
"9789022573464","AS_NEW","10.19","24uurs-13","1","TRUE","9789022573464","","Hah5","FBR","TRUE","",""
"9789400505209","AS_NEW","12.50","24uurs-13","1","TRUE","9789400505209","","Hah6","FBR","TRUE","",""
"9789029087612","AS_NEW","12.50","24uurs-13","1","TRUE","9789029087612","","Hah7","FBR","TRUE","",""
"9789025307585","AS_NEW","11.34","24uurs-13","1","TRUE","9789025307585","","Hah8","FBR","TRUE","",""
"9789044630794","AS_NEW","18.24","24uurs-13","1","TRUE","9789044630794","","Hah9","FBR","TRUE","",""
"9789025443993","AS_NEW","14.79","24uurs-13","1","TRUE","9789025443993","","Hah10","FBR","TRUE","",""
"9789029086288","AS_NEW","14.79","24uurs-13","1","TRUE","9789029086288","","Hah11","FBR","TRUE","",""
"9789041422347","AS_NEW","14.79","24uurs-13","1","TRUE","9789041422347","","Hah12","FBR","TRUE","",""
"9789045119502","AS_NEW","12.50","24uurs-13","1","TRUE","9789045119502","","Hah13","FBR","TRUE","",""
